marc|MARC|Y
biblo|CEPAL|Y
copies|Acquisitions, Copies
providers|Providers
suggestions|Suggestions (Acquisitions)
purchaseorder|Purchase Orders
users|patrons
loanobjects|Loan objects
trans|Loan transactions
suspml|Suspensions and fines
reserve|Loan reservations
dubcore|DublinCore Repository
projects|Projects
experts|Experts
doaj|DOAJ
agrovoc|Agrovoc Thesaurus
